arm,config,seed,requests,planned_in_log,log_coverage,S,S_pct,L,L_pct,X,X_pct,R,R_pct,D,D_pct,U,U_pct
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,1,496,436,0.879,119,23.992,13,2.621,4,0.806,61,12.298,240,48.387,59,11.895
cwfree120,MSW_path_sf10_p70_S25_MMedium_Chain,2,496,436,0.879,123,24.798,4,0.806,9,1.815,57,11.492,243,48.992,60,12.097
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,0,496,495,0.998,311,62.702,0,0.0,0,0.0,0,0.0,184,37.097,1,0.202
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,1,496,494,0.996,311,62.702,3,0.605,0,0.0,0,0.0,180,36.29,2,0.403
cwfree120,MSW_path_sf10_p70_S50_M0_Chain,2,496,495,0.998,308,62.097,2,0.403,0,0.0,0,0.0,185,37.298,1,0.202
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,0,496,495,0.998,300,60.484,2,0.403,1,0.202,0,0.0,192,38.71,1,0.202
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,1,496,495,0.998,267,53.831,2,0.403,0,0.0,1,0.202,225,45.363,1,0.202
cwfree120,MSW_path_sf10_p70_S50_MHigh_Chain,2,496,495,0.998,308,62.097,6,1.21,2,0.403,0,0.0,179,36.089,1,0.202
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,0,495,495,1.0,296,59.798,1,0.202,0,0.0,0,0.0,198,40.0,0,0.0
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,1,495,495,1.0,290,58.586,2,0.404,1,0.202,0,0.0,202,40.808,0,0.0
cwfree120,MSW_path_sf10_p70_S50_MLow_Chain,2,495,495,1.0,287,57.98,3,0.606,1,0.202,0,0.0,204,41.212,0,0.0
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,0,496,489,0.9859,272,54.839,1,0.202,0,0.0,0,0.0,216,43.548,7,1.411
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,1,496,491,0.9899,270,54.435,8,1.613,0,0.0,0,0.0,213,42.944,5,1.008
cwfree120,MSW_path_sf10_p70_S50_MMedium_Chain,2,496,492,0.9919,280,56.452,1,0.202,0,0.0,1,0.202,210,42.339,4,0.806
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,0,496,495,0.998,308,62.097,3,0.605,0,0.0,0,0.0,184,37.097,1,0.202
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,1,496,495,0.998,323,65.121,1,0.202,0,0.0,0,0.0,171,34.476,1,0.202
cwfree120,MSW_path_sf10_p70_S75_M0_Chain,2,496,495,0.998,321,64.718,1,0.202,0,0.0,0,0.0,173,34.879,1,0.202
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,0,496,495,0.998,315,63.508,0,0.0,0,0.0,0,0.0,180,36.29,1,0.202
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,1,496,495,0.998,323,65.121,2,0.403,1,0.202,1,0.202,168,33.871,1,0.202
cwfree120,MSW_path_sf10_p70_S75_MHigh_Chain,2,496,495,0.998,315,63.508,0,0.0,0,0.0,0,0.0,180,36.29,1,0.202
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,0,495,495,1.0,327,66.061,0,0.0,0,0.0,0,0.0,168,33.939,0,0.0
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,1,495,495,1.0,335,67.677,1,0.202,1,0.202,0,0.0,158,31.919,0,0.0
cwfree120,MSW_path_sf10_p70_S75_MLow_Chain,2,495,495,1.0,324,65.455,0,0.0,1,0.202,0,0.0,170,34.343,0,0.0
cwfree120,MSW_path_sf10_p70_S75_MMedium_Chain,0,496,495,0.998,315,63.508,2,0.403,0,0.0,0,0.0,178,35.887,1,0.202
